timestamp,icao24,callsign,latitude,longitude,altitude
2026-03-23 18:21:20.148716,76cefa,SIA346  ,3.5094,101.678,9144
2026-03-23 18:22:21.165865,76cefa,SIA346  ,3.6145,101.6205,9144
2026-03-23 18:23:22.193098,76cefa,SIA346  ,3.7006,101.5732,9144
2026-03-23 18:24:23.123696,76cefa,SIA346  ,3.7569,101.5424,9144
2026-03-23 18:25:24.033787,76cefa,SIA346  ,3.7569,101.5424,9144
2026-03-23 18:26:25.052257,76cefa,SIA346  ,3.7569,101.5424,9144
2026-03-23 18:27:26.114424,76cefa,SIA346  ,3.7569,101.5424,9144
2026-03-23 18:28:27.655222,48455f,KLM836  ,3.5768,101.5376,9144
2026-03-23 18:28:27.655222,76cefa,SIA346  ,3.7569,101.5424,9144
2026-03-23 18:29:28.584237,48455f,KLM836  ,3.755,101.4584,9144
2026-03-23 18:30:29.511332,48455f,KLM836  ,3.7759,101.449,9144
2026-03-23 18:31:30.439035,48455f,KLM836  ,3.7759,101.449,9144
2026-03-23 18:32:32.177735,48455f,KLM836  ,3.7759,101.449,9144
2026-03-23 18:33:33.937931,48455f,KLM836  ,3.7759,101.449,9144
2026-03-23 18:34:35.582062,48455f,KLM836  ,3.7759,101.449,9144
2026-03-23 18:35:37.431057,406f7c,BAW34   ,3.6325,101.0706,5013.96
2026-03-23 18:36:38.460555,406f7c,BAW34   ,3.7055,101.0353,5250.18
2026-03-23 18:37:39.490054,406f7c,BAW34   ,3.8382,100.971,5623.56
2026-03-23 18:38:40.521080,406f7c,BAW34   ,3.8382,100.971,5623.56
2026-03-23 18:39:41.350229,406f7c,BAW34   ,3.8382,100.971,5623.56
2026-03-23 18:40:42.375553,406f7c,BAW34   ,3.8382,100.971,5623.56
2026-03-23 18:41:43.384710,406f7c,BAW34   ,3.8382,100.971,5623.56
2026-03-23 18:42:44.334167,406f7c,BAW34   ,3.8382,100.971,5623.56
2026-03-23 18:55:56.767051,76cdb5,SIA302  ,4.0427,101.5892,9083.04
2026-03-23 18:56:57.541319,76cdb5,SIA302  ,4.1102,101.5263,9159.24
2026-03-23 18:57:58.249114,76cdb5,SIA302  ,4.1102,101.5263,9159.24
2026-03-23 18:58:58.966081,76cdb5,SIA302  ,4.1102,101.5263,9159.24
2026-03-23 19:00:00.074611,76cdb5,SIA302  ,4.1102,101.5263,9159.24
2026-03-23 19:01:01.033991,76cdb5,SIA302  ,4.1102,101.5263,9159.24
2026-03-23 19:08:08.124877,76cc62,SIA402  ,3.8067,101.793,10972.8
2026-03-23 19:09:09.164215,76cc62,SIA402  ,3.9069,101.7018,10972.8
2026-03-23 19:10:10.240766,76cc62,SIA402  ,3.9923,101.624,10965.18
2026-03-23 19:11:11.331609,8963e0,UAE399  ,3.5013,100.2315,9753.6
2026-03-23 19:11:11.331609,76cc62,SIA402  ,4.0982,101.5275,10965.18
2026-03-23 19:12:12.393849,8963e0,UAE399  ,3.5598,100.122,9753.6
2026-03-23 19:12:12.393849,76cc62,SIA402  ,4.1829,101.4504,10972.8
2026-03-23 19:13:13.449784,76cc62,SIA402  ,4.1829,101.4504,10972.8
2026-03-23 19:14:14.515215,76cc62,SIA402  ,4.1829,101.4504,10972.8
2026-03-23 19:15:15.538788,76cc62,SIA402  ,4.1829,101.4504,10972.8
2026-03-23 19:16:16.611607,76cc62,SIA402  ,4.1829,101.4504,10972.8
2026-03-23 19:27:30.455730,7105ad,SVA857  ,3.5409,100.0577,10363.2
2026-03-23 19:31:34.396335,76cdac,SIA330  ,3.5811,101.7074,9791.7
2026-03-23 19:32:35.348966,76cdac,SIA330  ,3.681,101.5983,9951.72
2026-03-23 19:33:36.179050,76cdac,SIA330  ,3.7837,101.4883,10096.5
2026-03-23 19:33:36.179050,76cdad,,3.9133,101.0307,12496.8
2026-03-23 19:34:37.152945,76cdac,SIA330  ,3.8312,101.4372,10172.7
2026-03-23 19:34:37.152945,76cdad,,3.8335,101.1034,12496.8
2026-03-23 19:35:38.092531,76cdac,SIA330  ,3.9589,101.2996,10355.58
2026-03-23 19:35:38.092531,76cdad,SIA391  ,3.7073,101.2185,12496.8
2026-03-23 19:36:39.058928,76cdac,SIA330  ,3.9589,101.2996,10355.58
2026-03-23 19:36:39.058928,76cdad,SIA391  ,3.6091,101.3078,12496.8
2026-03-23 19:37:39.970649,76cdac,SIA330  ,3.9589,101.2996,10355.58
2026-03-23 19:37:39.970649,76cdad,SIA391  ,3.5111,101.3971,12504.42
2026-03-23 19:38:40.935033,76cdac,SIA330  ,3.9589,101.2996,10355.58
2026-03-23 19:39:41.778241,76cdac,SIA330  ,3.9589,101.2996,10355.58
2026-03-23 19:40:42.777040,76cdac,SIA330  ,3.9589,101.2996,10355.58
2026-03-23 19:40:42.777040,800b14,IGO1005 ,3.7888,100.2553,10668
2026-03-23 19:41:43.754023,800b14,IGO1005 ,3.6837,100.3623,10675.62
2026-03-23 19:42:44.948032,800b14,IGO1005 ,3.6837,100.3623,10675.62
2026-03-23 19:44:46.715016,8007c9,IGO1027 ,3.5747,101.5538,11285.22
2026-03-23 19:48:50.592072,7502db,MXD224  ,3.6238,100.0592,8839.2
2026-03-23 19:49:51.558904,801442,IGO1031 ,3.7492,100.2272,7620
2026-03-23 19:49:51.558904,7502db,MXD224  ,3.6361,100.105,8785.86
2026-03-23 19:50:52.603045,801442,IGO1031 ,3.7107,100.3454,7406.64
2026-03-23 19:50:52.603045,7502db,MXD224  ,3.6361,100.105,8785.86
2026-03-23 19:51:53.549093,801442,IGO1031 ,3.6712,100.4508,7101.84
2026-03-23 19:51:53.549093,7502db,MXD224  ,3.6361,100.105,8785.86
2026-03-23 19:52:54.653588,801442,IGO1031 ,3.6511,100.5063,7010.4
2026-03-23 19:52:54.653588,7502db,MXD224  ,3.655,100.4949,8107.68
2026-03-23 19:53:55.497510,801442,IGO1031 ,3.5808,100.6681,6903.72
2026-03-23 19:53:55.497510,7502db,MXD224  ,3.6564,100.6172,7825.74
2026-03-23 19:54:56.435631,801442,IGO1031 ,3.5485,100.7137,6758.94
2026-03-23 19:54:56.435631,7502db,MXD224  ,3.6576,100.7071,7635.24
2026-03-23 19:55:57.386484,7502db,MXD224  ,3.6636,100.8265,7620
